Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.3400552181190262,1.2875298000700925e-13
T,AH,0,0.3400552181190262,1.2875298000700925e-13
$PM_{2.5}$,AH,0,-0.36728469278160814,8.711319629860909e-16
T,$PM_{2.5}$,1,-0.32716960542151374,1.161455755302138e-12
AH,$PM_{2.5}$,0,-0.36728469278160814,8.711319629860909e-16
$Flu_A$,$PM_{2.5}$,0,-0.10454866592532648,0.026743246667946308
$PM_{2.5}$,$Flu_A$,0,-0.10454866592532648,0.026743246667946308
$PM_{2.5}$,$Flu_A$,1,-0.15432229844688836,0.0010494868920965389
