2016-06-09	端午節
2016-06-19	父親節
2016-08-09	七夕情人節
2016-08-17	中元節
2016-09-15	中秋節
2016-09-16	中秋節
2016-10-01	國慶日
2016-10-02	國慶日翌日
2016-10-09	重陽節
2016-11-02	追思節
2016-12-08	聖母無染原罪瞻禮
2016-12-20	澳門特別行政區成立紀念日
2016-12-21	冬至
2016-12-24	平安夜
2016-12-25	聖誕節
2016-12-26	拆禮物日
2016-12-31	新年前夜
2017-01-01	元旦
2017-01-01	新年
2017-01-05	臘八節
2017-01-21	小年
2017-01-27	除夕
2017-01-28	春節
2017-01-29	春節
2017-01-30	春節
2017-02-11	元宵節
2017-02-14	情人節
2017-04-04	清明節
2017-04-14	耶穌受難節
2017-04-15	復活節前日
2017-04-16	復活節
2017-04-17	復活節次日
2017-05-01	勞動節
2017-05-03	佛誕節
2017-05-14	母親節
2017-05-30	端午節
2017-06-18	父親節
2017-08-28	七夕情人節
2017-09-05	中元節
2017-10-01	國慶日
2017-10-02	國慶日翌日
2017-10-04	中秋節
2017-10-05	中秋節
2017-10-28	重陽節
2017-11-02	追思節
2017-12-08	聖母無染原罪瞻禮
2017-12-20	澳門特別行政區成立紀念日
2017-12-22	冬至
2017-12-24	平安夜
2017-12-25	聖誕節
2017-12-26	拆禮物日
2017-12-31	新年前夜
2018-01-01	元旦
2018-01-01	新年
2018-01-24	臘八節
2018-02-09	小年
2018-02-14	情人節
2018-02-15	除夕
2018-02-16	春節
2018-02-17	春節
2018-02-18	春節
2018-03-02	元宵節
2018-03-30	耶穌受難節
2018-03-31	復活節前日
2018-04-01	復活節
2018-04-02	復活節次日
2018-04-05	清明節
2018-05-01	勞動節
2018-05-13	母親節
2018-05-22	佛誕節
2018-06-17	父親節
2018-06-18	端午節
2018-08-17	七夕情人節
2018-08-25	中元節
2018-09-24	中秋節
2018-09-25	中秋節
2018-10-01	國慶日
2018-10-02	國慶日翌日
2018-10-17	重陽節
2018-11-02	追思節
2018-12-08	聖母無染原罪瞻禮
2018-12-20	澳門特別行政區成立紀念日
2018-12-22	冬至
2018-12-24	平安夜
2018-12-25	聖誕節
2018-12-26	拆禮物日
2018-12-31	新年前夜
2019-01-01	元旦
2019-01-01	新年
2019-01-13	臘八節
2019-01-29	小年
2019-02-04	除夕
2019-02-05	春節
2019-02-06	春節
2019-02-07	春節
2019-02-14	情人節
2019-02-19	元宵節
2019-04-05	清明節
2019-04-19	耶穌受難節
2019-04-20	復活節前日
2019-04-21	復活節
2019-04-22	復活節次日
2019-05-01	勞動節
2019-05-12	佛誕節
2019-05-12	母親節
2019-06-07	端午節
2019-06-16	父親節
2019-08-07	七夕情人節
2019-08-15	中元節
2019-09-13	中秋節
2019-09-14	中秋節
2019-10-01	國慶日
2019-10-02	國慶日翌日
2019-10-07	重陽節
2019-11-02	追思節
2019-12-08	聖母無染原罪瞻禮
2019-12-20	澳門特別行政區成立紀念日
2019-12-22	冬至
2019-12-24	平安夜
2019-12-25	聖誕節
2019-12-26	拆禮物日
2019-12-31	新年前夜
2020-01-01	元旦
2020-01-01	新年
2020-01-02	臘八節
2020-01-18	小年
2020-01-24	除夕
2020-01-25	春節
2020-01-26	春節
2020-01-27	春節
2020-02-08	元宵節
2020-02-14	情人節
2020-04-04	清明節
2020-04-10	耶穌受難節
2020-04-11	復活節前日
2020-04-12	復活節
2020-04-13	復活節次日
2020-04-30	佛誕節
2020-05-01	勞動節
2020-05-10	母親節
2020-06-21	父親節
2020-06-25	端午節
2020-08-25	七夕情人節
2020-09-02	中元節
2020-10-01	國慶日
2020-10-01	中秋節
2020-10-02	國慶日翌日
2020-10-02	中秋節
2020-10-25	重陽節
2020-11-02	追思節
2020-12-08	聖母無染原罪瞻禮
2020-12-20	澳門特別行政區成立紀念日
2020-12-21	冬至
2020-12-24	平安夜
2020-12-25	聖誕節
2020-12-26	拆禮物日
2020-12-31	新年前夜
2021-01-01	元旦
2021-01-01	新年
2021-01-20	臘八節
2021-02-05	小年
2021-02-11	除夕
2021-02-12	春節
2021-02-13	春節
2021-02-14	情人節
2021-02-14	春節
2021-02-26	元宵節
2021-04-02	耶穌受難節
2021-04-03	復活節前日
2021-04-04	復活節
2021-04-04	清明節
2021-04-05	復活節次日
2021-05-01	勞動節
2021-05-09	母親節
2021-05-19	佛誕節
2021-06-14	端午節
2021-06-20	父親節
2021-08-14	七夕情人節
2021-08-22	中元節
2021-09-21	中秋節
2021-09-22	中秋節
2021-10-01	國慶日
2021-10-02	國慶日翌日
2021-10-14	重陽節
2021-11-02	追思節
2021-12-08	聖母無染原罪瞻禮
2021-12-20	澳門特別行政區成立紀念日
2021-12-21	冬至
2021-12-24	平安夜
2021-12-25	聖誕節
2021-12-26	拆禮物日
2021-12-31	新年前夜
2022-01-01	元旦
2022-01-01	新年
2022-01-10	臘八節
2022-01-26	小年
2022-01-31	除夕
