Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.25507591418169956,1.396499318467662e-08
T,AH,0,0.25507591418169956,1.396499318467662e-08
$PM_{10}$,AH,0,-0.4756015315383158,2.091889447778217e-28
$Flu_A$,AH,0,0.12921327114302203,0.0046622114484794475
T,$PM_{10}$,1,-0.24880733818317052,3.206562133150437e-08
T,$PM_{10}$,2,-0.09704007163013752,0.03354351352320977
AH,$PM_{10}$,0,-0.4756015315383158,2.091889447778217e-28
T,$Flu_A$,4,-0.10069502255142292,0.02738575814803232
AH,$Flu_A$,0,0.12921327114302203,0.0046622114484794475
